campus_id,timestamp,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed
0,01-01-2024,12.8,,,0,1018.6,88,7.6
0,02-01-2024,10.1,,,0,1018.3,93,7.5
0,03-01-2024,11.4,,,0,1017.8,85,6.3
0,04-01-2024,10.1,,,0,1018.7,88,5.6
0,05-01-2024,10.8,,,0,1018.7,93,5.2
0,06-01-2024,12,,,0,1020,54,3.8
0,07-01-2024,12.6,,,0,1020.3,86,6.8
0,08-01-2024,13.4,,,0,1020.2,87,8.5
0,09-01-2024,14.2,,,0.1,1020.1,65,5.7
0,10-01-2024,13.2,,,0,1019.4,324,4.9
0,11-01-2024,14.3,,,0,1019.6,101,3.8
0,12-01-2024,15.3,,,0,1018.6,91,2.9
0,13-01-2024,17.3,,,0,1017.3,99,5.4
0,14-01-2024,17.7,,,0,1017.4,91,5.4
0,15-01-2024,15.9,,,0,1017.1,94,4.4
0,16-01-2024,15.6,,,0,1014.7,110,7.2
0,17-01-2024,13.4,,,0,1014.6,97,9.6
0,18-01-2024,12.9,,,0,1017.1,115,7.4
0,19-01-2024,12.1,,,0,1018.6,117,8.6
0,20-01-2024,12.1,,,0,1019.3,106,8.1
0,21-01-2024,15.1,,,0,1019,357,5.3
0,22-01-2024,14.8,,,0,1019.2,116,7.2
0,23-01-2024,14.6,,,0,1018.6,136,7.6
0,24-01-2024,15.6,,,0,1018.1,65,6
0,25-01-2024,13.8,,,0,1020.7,105,7.5
0,26-01-2024,15.9,,,0,1021.6,103,6.3
0,27-01-2024,17.6,,,0,1020.6,203,4.6
0,28-01-2024,18.9,,,0,1017.9,113,6.6
0,29-01-2024,17.9,,,0,1017.7,87,8
0,30-01-2024,19.1,,,0,1017.4,116,6
0,31-01-2024,20,,,0,1015.5,124,10.2
0,01-02-2024,19.5,,,0,1015.6,79,11.2
0,02-02-2024,18.2,,,0,1019.4,94,9.1
0,03-02-2024,18.7,,,0,1018.4,126,7.8
0,04-02-2024,18.1,,,0,1017.4,31,6.4
0,05-02-2024,18.1,,,22.1,1017.6,338,8
0,06-02-2024,16.6,,,0,1020.1,87,8.1
0,07-02-2024,16.2,,,0,1021.5,42,7.7
0,08-02-2024,16.1,,,0,1021.1,326,8.5
0,09-02-2024,16.4,,,0,1020.1,102,5.2
0,10-02-2024,17.1,,,0,1021.7,96,5.7
0,11-02-2024,17.1,,,0,1021.4,62,4.3
0,12-02-2024,17.3,,,0,1020.3,85,5.4
0,13-02-2024,18.7,,,0,1018.8,74,7.5
0,14-02-2024,19.8,,,0,1019.2,39,6.3
0,15-02-2024,19.9,,,0,1020.1,101,6.2
0,16-02-2024,20,,,0,1020.4,96,5.5
0,17-02-2024,20.3,,,0,1016.5,282,5.7
0,18-02-2024,21.2,,,0,1013.2,123,6.4
0,19-02-2024,23.6,,,0,1010.7,152,11.4
0,20-02-2024,23.2,,,0,1011.4,273,13.6
0,21-02-2024,21.7,,,3,1010.9,27,7
0,22-02-2024,20.5,,,0,1013.6,21,9.7
0,23-02-2024,19.6,,,0,1016.5,83,7.7
0,24-02-2024,19.2,,,0,1015.8,86,11.4
0,25-02-2024,19.3,,,0,1017.7,84,11.7
0,26-02-2024,19.3,,,0,1018.4,86,11.8
0,27-02-2024,20,,,0,1018.1,69,11.7
0,28-02-2024,20.6,,,0,1017.1,11,5
0,29-02-2024,21.9,,,0,1015.8,79,4.6
0,01-03-2024,22.3,,,4.3,1013.3,102,14.3
0,02-03-2024,20.4,,,2.6,1011.4,168,11.8
0,03-03-2024,19.2,,,0,1012.3,235,8.5
0,04-03-2024,18.5,,,0,1016.7,58,6.8
0,05-03-2024,19.2,,,0,1017.9,31,9.3
0,06-03-2024,19.5,,,0,1016.1,27,6.1
0,07-03-2024,20.8,,,0,1015.1,76,7.4
